sect_2,run_2,block_2,trial_2,actStartTS_2,calcStartTS_2,relStartT_2,seqidx_2,pos_2,taskidx_2,stimidx_2,corrresp_2,resp_2,rt_2,result_2,iti_2,calcITIstartTS_2,spq_2,actspqTS_2,spqrt_2,spqresp_2,spqresult_2,color_2,shape_2,size_2
2,1,1,1,0,0,0,1,1,1,8,2,0,0,0,0.5,0,0,0,0,0,0,2,2,2
2,1,1,2,0,0,0,1,2,1,2,1,0,0,0,0.5,0,0,0,0,0,0,1,1,2
2,1,1,3,0,0,0,1,3,2,4,2,0,0,0,0.5,0,0,0,0,0,0,1,2,2
2,1,1,4,0,0,0,1,4,2,5,1,0,0,0,0.5,0,0,0,0,0,0,2,1,1
2,1,1,5,0,0,0,1,1,1,2,1,0,0,0,0.5,0,0,0,0,0,0,1,1,2
2,1,1,6,0,0,0,1,2,1,7,2,0,0,0,0.5,0,0,0,0,0,0,2,2,1
2,1,1,7,0,0,0,1,3,2,2,1,0,0,0,0.5,0,0,0,0,0,0,1,1,2
2,1,1,8,0,0,0,1,4,2,8,2,0,0,0,0.5,0,0,0,0,0,0,2,2,2
