sect_1,run_1,block_1,trial_1,actStartTS_1,calcStartTS_1,relStartT_1,seqidx_1,pos_1,taskidx_1,stimidx_1,corrresp_1,resp_1,rt_1,result_1,iti_1,calcITIstartTS_1,spq_1,actspqTS_1,spqrt_1,spqresp_1,spqresult_1,color_1,shape_1,size_1
1,1,1,1,0,0,0,0,1,1,7,2,0,0,0,0.5,0,0,0,0,0,0,2,2,1
1,1,1,2,0,0,0,0,2,1,6,2,0,0,0,0.5,0,0,0,0,0,0,2,1,2
1,1,1,3,0,0,0,0,3,1,4,1,0,0,0,0.5,0,0,0,0,0,0,1,2,2
1,1,1,4,0,0,0,0,4,1,8,2,0,0,0,0.5,0,0,0,0,0,0,2,2,2
1,1,2,1,0,0,0,0,1,2,7,2,0,0,0,0.5,0,0,0,0,0,0,2,2,1
1,1,2,2,0,0,0,0,2,2,2,1,0,0,0,0.5,0,0,0,0,0,0,1,1,2
1,1,2,3,0,0,0,0,3,2,4,2,0,0,0,0.5,0,0,0,0,0,0,1,2,2
1,1,2,4,0,0,0,0,4,2,5,1,0,0,0,0.5,0,0,0,0,0,0,2,1,1
